,"ФИО","Внесено","Подписано","Процент подписанных","Общее время принятия","Среднее время принятия",Примечания,Служебное,Misc
418,Черкесов Леонид Ильич,6,0,"0,00%",0,0,,,
419,Чижов Сергей Викторович,0,0,"0,00%",0,0,,,
420,Чилингаров Артур Николаевич,2,0,"0,00%",0,0,,,
421,Чиндяскин Сергей Викторович,0,0,"0,00%",0,0,,,
422,Шайхутдинов Рифат Габдулхакович,4,0,"0,00%",0,0,,,
423,Шаргунов Сергей Александрович,18,0,"0,00%",0,0,,,
424,Шерин Александр Николаевич,15,0,"0,00%",0,0,,,
425,Шойгу Лариса Кужугетовна,1,0,"0,00%",0,0,,,
426,Шубин Игорь Николаевич,2,0,"0,00%",0,0,,,
427,Шурчанов Валентин Сергеевич,30,0,"0,00%",0,0,,,
428,Щаблыкин Максим Иванович,4,0,"0,00%",0,0,,,
429,Щапов Михаил Викторович,20,0,"0,00%",0,0,,,
430,Эмиргамзаев Абдулгамид Гасанович,0,0,"0,00%",0,0,,,
431,Юмашева Инга Альбертовна,0,0,"0,00%",0,0,,,
432,Юрков Дмитрий Васильевич,0,0,"0,00%",0,0,,,
433,Яхнюк Сергей Васильевич,0,0,"0,00%",0,0,,,
434,Аскендеров Заур Асевович,2,0,"0,00%",0,0,,,
435,Афонин Юрий Вячеславович,28,0,"0,00%",0,0,,,
436,Баталова Рима Акбердиновна,0,0,"0,00%",0,0,,,
437,Голушко Андрей Иванович,0,0,"0,00%",0,0,,,
438,Драчев Владимир Петрович,1,0,"0,00%",0,0,,,
439,Исламов Дмитрий Викторович,1,0,"0,00%",0,0,,,
440,Ишсарин Рамзил Рафаилович,5,0,"0,00%",0,0,,,
441,Ищенко Александр Николаевич,2,0,"0,00%",0,0,,,
