,"ФИО","Внесено","Подписано","Процент подписанных","Общее время принятия","Среднее время принятия",Примечания,Служебное,Misc
94,Ющенко Александр Андреевич,15,5,"33,33%",769,"153,8",,,
95,Петрунин Николай Юрьевич,3,1,"33,33%",186,186,,,
96,Кабанова Валентина Викторовна,6,2,"33,33%",415,"207,5",,,
97,Мельник Владимир Иванович,6,2,"33,33%",415,"207,5",,,
98,Данчикова Галина Иннокентьевна,3,1,"33,33%",245,245,,,
99,Ямпольская Елена Александровна,3,1,"33,33%",271,271,,,
100,Маринин Сергей Владимирович,3,1,"33,33%",374,374,,,
101,Вострецов Сергей Алексеевич,10,3,"30,00%",466,"155,3333333",,,
102,Марданшин Рафаэль Мирхатимович,10,3,"30,00%",534,178,,,
103,Сидякин Александр Геннадьевич,31,9,"29,03%",1558,"173,1111111",,,
104,Окунева Ольга Владимировна,7,2,"28,57%",251,"125,5",добавить?,,
105,Аршинова Алена Игоревна,7,2,"28,57%",346,173,тоже бы включить?,,
106,Исаев Андрей Константинович,21,6,"28,57%",1094,"182,3333333",,,
107,Тутова Лариса Николаевна,7,2,"28,57%",398,199,,,
108,Тарасенко Михаил Васильевич,14,4,"28,57%",862,"215,5",,,
109,Изотов Алексей Николаевич,7,2,"28,57%",630,315,,,
110,Гаврилов Сергей Анатольевич,18,5,"27,78%",699,"139,8",,,
111,Терентьев Михаил Борисович,11,3,"27,27%",596,"198,6666667",,,
112,Мельников Иван Иванович,37,10,"27,03%",1099,"109,9",,,
113,Максимова Надежда Сергеевна,4,1,"25,00%",79,79,,,
114,Выборный Анатолий Борисович,12,3,"25,00%",264,88,,,
115,Панина Елена Владимировна,8,2,"25,00%",195,"97,5",,,
116,Бузилов Валерий Викторович,4,1,"25,00%",150,150,аномалия,,
117,Загребин Алексей Егорович,4,1,"25,00%",150,150,,,
118,Плотников Владимир Николаевич,4,1,"25,00%",155,155,,,
119,Хайруллин Айрат Назипович,4,1,"25,00%",155,155,,,
120,Бифов Анатолий Жамалович,12,3,"25,00%",473,"157,6666667",,,
121,Вторыгина Елена Андреевна,4,1,"25,00%",164,164,,,
122,Цыбизова Татьяна Игоревна,4,1,"25,00%",166,166,,,
123,Фаррахов Айрат Закиевич,16,4,"25,00%",706,"176,5",,,
124,Казакова Ольга Михайловна,4,1,"25,00%",219,219,,,
125,Левицкий Юрий Андреевич,4,1,"25,00%",219,219,,,
126,Толстой Петр Олегович,4,1,"25,00%",219,219,,,
127,Павлова Ольга Ивановна,12,3,"25,00%",668,"222,6666667",,,
128,Сазонов Дмитрий Валерьевич,4,1,"25,00%",431,431,,,
129,Бессараб Светлана Викторовна,9,2,"22,22%",415,"207,5",,,
130,Лебедев Игорь Владимирович,47,10,"21,28%",1299,"129,9",,,
131,Жириновский Владимир Вольфович,25,5,"20,00%",460,92,,,
132,Афонский Владимир Игоревич,5,1,"20,00%",109,109,,,
